RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,class
13.0,16.0,10.0,14.0,12.0,3.0,16.0,1.0,12.0,2
15.0,15.0,8.0,11.0,14.0,1.0,17.0,1.0,1.0,2
22.0,15.0,1.0,11.0,9.0,1.0,24.0,1.0,7.0,2
10.0,13.0,29.0,9.0,16.0,4.0,9.0,1.0,1.0,2
10.0,15.0,29.0,13.0,12.0,1.0,9.0,1.0,10.0,2
10.0,13.0,28.0,10.0,17.0,3.0,8.0,1.0,1.0,2
10.0,12.0,28.0,11.0,15.0,4.0,9.0,1.0,18.0,2
10.0,11.0,28.0,8.0,19.0,3.0,9.0,1.0,8.0,2
9.0,11.0,26.0,13.0,19.0,1.0,8.0,1.0,1.0,2
8.0,10.0,26.0,13.0,21.0,3.0,8.0,1.0,1.0,2
8.0,11.0,26.0,14.0,20.0,3.0,8.0,1.0,1.0,2
9.0,13.0,26.0,14.0,16.0,3.0,8.0,1.0,1.0,2
11.0,12.0,26.0,8.0,18.0,3.0,9.0,1.0,11.0,2
8.0,11.0,26.0,12.0,19.0,1.0,9.0,1.0,16.0,2
9.0,11.0,25.0,15.0,17.0,2.0,9.0,1.0,1.0,2
8.0,11.0,23.0,10.0,19.0,4.0,11.0,1.0,16.0,2
11.0,11.0,27.0,10.0,16.0,4.0,10.0,1.0,22.0,2
10.0,15.0,27.0,9.0,17.0,1.0,10.0,1.0,1.0,3
7.0,13.0,26.0,11.0,17.0,3.0,9.0,1.0,1.0,3
8.0,13.0,26.0,11.0,17.0,3.0,9.0,1.0,7.0,3
8.0,7.0,26.0,11.0,18.0,1.0,10.0,1.0,1.0,3
8.0,12.0,25.0,15.0,16.0,3.0,9.0,1.0,11.0,3
15.0,18.0,28.0,6.0,10.0,4.0,13.0,1.0,1.0,3
10.0,15.0,27.0,4.0,19.0,1.0,11.0,1.0,1.0,3
7.0,13.0,25.0,10.0,17.0,3.0,9.0,1.0,1.0,3
9.0,11.0,26.0,11.0,17.0,4.0,10.0,1.0,1.0,3
8.0,12.0,25.0,10.0,19.0,3.0,10.0,1.0,1.0,3
8.0,13.0,25.0,10.0,17.0,4.0,10.0,1.0,1.0,3
15.0,16.0,27.0,3.0,12.0,2.0,13.0,1.0,1.0,3
10.0,14.0,25.0,13.0,13.0,4.0,10.0,1.0,1.0,3
10.0,14.0,24.0,14.0,13.0,1.0,11.0,1.0,6.0,3
11.0,13.0,24.0,13.0,14.0,1.0,11.0,1.0,1.0,3
12.0,15.0,26.0,5.0,17.0,1.0,11.0,2.0,16.0,3
16.0,17.0,27.0,7.0,9.0,4.0,12.0,1.0,24.0,3
6.0,16.0,20.0,32.0,1.0,3.0,2.0,23.0,1.0,5
12.0,10.0,14.0,16.0,17.0,3.0,14.0,1.0,1.0,5
15.0,4.0,14.0,13.0,18.0,3.0,18.0,1.0,1.0,5
15.0,2.0,13.0,13.0,21.0,1.0,19.0,1.0,1.0,5
12.0,10.0,1.0,14.0,23.0,1.0,19.0,1.0,1.0,5
8.0,11.0,1.0,16.0,24.0,3.0,15.0,1.0,1.0,5
13.0,13.0,1.0,15.0,19.0,1.0,18.0,1.0,1.0,5
18.0,14.0,1.0,13.0,14.0,2.0,21.0,1.0,1.0,5
3.0,12.0,1.0,28.0,4.0,1.0,5.0,1.0,1.0,5
3.0,11.0,1.0,28.0,6.0,3.0,5.0,1.0,1.0,5
14.0,13.0,1.0,12.0,14.0,3.0,22.0,1.0,1.0,5
14.0,11.0,12.0,19.0,14.0,4.0,13.0,3.0,32.0,5
15.0,11.0,3.0,13.0,21.0,4.0,18.0,1.0,18.0,5
12.0,16.0,18.0,13.0,15.0,4.0,13.0,1.0,1.0,6
12.0,15.0,18.0,9.0,17.0,1.0,13.0,1.0,1.0,6
11.0,18.0,16.0,14.0,15.0,1.0,12.0,1.0,1.0,6
11.0,17.0,16.0,14.0,17.0,4.0,12.0,1.0,1.0,6
3.0,18.0,13.0,13.0,28.0,4.0,7.0,1.0,1.0,6
11.0,21.0,6.0,15.0,16.0,3.0,14.0,1.0,1.0,6
12.0,17.0,1.0,18.0,17.0,1.0,17.0,1.0,1.0,6
12.0,19.0,1.0,3.0,21.0,1.0,18.0,1.0,1.0,6
1.0,32.0,1.0,1.0,32.0,4.0,4.0,1.0,1.0,6
1.0,15.0,23.0,16.0,18.0,1.0,1.0,13.0,1.0,7
11.0,18.0,24.0,20.0,9.0,1.0,2.0,17.0,1.0,7
17.0,14.0,24.0,10.0,15.0,2.0,11.0,1.0,1.0,7
16.0,20.0,16.0,18.0,3.0,4.0,13.0,1.0,1.0,7
18.0,25.0,14.0,11.0,4.0,4.0,10.0,18.0,1.0,7
7.0,16.0,13.0,15.0,19.0,4.0,10.0,8.0,1.0,7
7.0,20.0,1.0,21.0,20.0,1.0,10.0,7.0,6.0,7
8.0,17.0,1.0,25.0,21.0,3.0,11.0,5.0,6.0,7
9.0,20.0,1.0,18.0,19.0,1.0,10.0,17.0,6.0,7
8.0,19.0,1.0,17.0,20.0,1.0,10.0,16.0,5.0,7
7.0,17.0,1.0,24.0,21.0,4.0,11.0,7.0,4.0,7
7.0,16.0,1.0,23.0,20.0,1.0,12.0,9.0,1.0,7
9.0,20.0,1.0,21.0,20.0,1.0,11.0,7.0,1.0,7
6.0,18.0,1.0,24.0,19.0,3.0,11.0,7.0,1.0,7
7.0,21.0,1.0,23.0,19.0,3.0,11.0,6.0,1.0,7
6.0,22.0,1.0,20.0,22.0,4.0,9.0,7.0,1.0,7
8.0,6.0,1.0,9.0,31.0,3.0,11.0,1.0,1.0,7
6.0,20.0,1.0,22.0,23.0,4.0,9.0,6.0,1.0,7
8.0,20.0,1.0,17.0,19.0,1.0,9.0,18.0,1.0,7
8.0,21.0,1.0,20.0,20.0,4.0,10.0,7.0,1.0,7
9.0,21.0,1.0,16.0,19.0,4.0,10.0,16.0,1.0,7
8.0,21.0,1.0,16.0,19.0,1.0,10.0,15.0,1.0,7
11.0,18.0,1.0,16.0,18.0,4.0,4.0,30.0,1.0,7
8.0,18.0,1.0,25.0,18.0,4.0,12.0,6.0,1.0,7
8.0,17.0,1.0,26.0,17.0,1.0,12.0,11.0,1.0,7
9.0,21.0,1.0,17.0,19.0,1.0,9.0,17.0,1.0,7
14.0,18.0,1.0,18.0,21.0,1.0,9.0,17.0,1.0,7
8.0,18.0,1.0,17.0,22.0,4.0,10.0,16.0,1.0,7
9.0,17.0,1.0,18.0,21.0,3.0,10.0,17.0,1.0,7
